Bra000001	DNAse I-like superfamily protein
Bra024038	heptahelical transmembrane  protein2
Bra024039	No annotation found
Bra024040	Transducin/WD40 repeat-like superfamily protein
Bra024041	cyclin-dependent kinase-activating kinase assembly factor-related / CDK-activating kinase assembly factor-related
Bra024042	serine carboxypeptidase-like 29
Bra024043	No annotation found
Bra024044	No annotation found
Bra024045	Putative membrane lipoprotein
Bra024046	FAD/NAD(P)-binding oxidoreductase family protein
Bra024047	Family of unknown function (DUF566) 
Bra024048	Pentatricopeptide repeat (PPR) superfamily protein
Bra024049	Translation initiation factor 3 protein
Bra024050	No annotation found
Bra024051	MIF4G domain-containing protein / MA3 domain-containing protein
Bra024052	Putative membrane lipoprotein
Bra024053	Low temperature and salt responsive protein family
Bra024054	RNI-like superfamily protein
Bra024055	RNI-like superfamily protein
Bra024056	suppressor of npr1-1 constitutive 4
Bra024057	RNI-like superfamily protein
Bra024058	No annotation found
Bra024059	alpha/beta-Hydrolases superfamily protein
Bra024060	signal recognition particle receptor alpha subunit family protein
Bra024061	early nodulin-like protein 12
Bra024062	Phospholipid/glycerol acyltransferase family protein
Bra024063	Glucose-1-phosphate adenylyltransferase family protein
Bra024064	RING/FYVE/PHD zinc finger superfamily protein
Bra024065	DNA-directed RNA polymerase II
Bra024066	Glucose-1-phosphate adenylyltransferase family protein
Bra024067	cyclic nucleotide gated channel 9
Bra024068	Class I glutamine amidotransferase-like superfamily protein
Bra024069	Leucine-rich repeat protein kinase family protein
Bra024070	homolog of yeast autophagy 18 (ATG18) B
Bra024071	Protein of unknown function (DUF788)
Bra024072	AFG1-like ATPase family protein
Bra024073	NAD(P)-binding Rossmann-fold superfamily protein
Bra024074	glycine-rich protein
Bra024075	UDP-D-glucuronate 4-epimerase 1
Bra024076	nodulin MtN21 /EamA-like transporter family protein
Bra024077	nodulin MtN21 /EamA-like transporter family protein
Bra024078	F-box/RNI-like/FBD-like domains-containing protein
Bra024079	glycosyl hydrolase 9B1
Bra024080	nodulin MtN21 /EamA-like transporter family protein
Bra024081	RING/U-box superfamily protein
Bra024082	No annotation found
Bra024083	cyclic nucleotide-gated channel 17
Bra024084	Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein
Bra024085	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
Bra024086	FGGY family of carbohydrate kinase
Bra024087	xyloglucan endotransglucosylase/hydrolase 20
Bra024088	xyloglucan endotransglucosylase/hydrolase 18
Bra024089	xyloglucan endotransglucosylase/hydrolase 24
Bra024090	Integral membrane Yip1 family protein
Bra024091	No annotation found
Bra024092	No annotation found
Bra024093	small nuclear ribonucleoprotein F
Bra024094	small nuclear ribonucleoprotein F
Bra024095	P450 reductase 2
Bra024096	No annotation found
Bra024097	vernalization5/VIN3-like
Bra024098	Fasciclin-like arabinogalactan family protein
Bra024099	translocon outer complex protein 120
Bra024100	H(+)-ATPase 2
Bra024101	H(+)-ATPase 2
Bra024102	Peroxidase family protein
Bra024103	heavy metal atpase 2
Bra024104	Protein of unknown function (DUF3755)
Bra024105	villin 4
Bra024106	Ras-related small GTP-binding family protein
Bra024107	heavy metal atpase 2
Bra024108	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra024109	auxin response factor 16
Bra024110	low-molecular-weight cysteine-rich 58
Bra024111	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Bra024112	PA-domain containing subtilase family protein
Bra024113	No annotation found
Bra024114	No annotation found
Bra024115	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra024116	No annotation found
Bra024117	autoinhibited Ca(2+)-ATPase 10
Bra024118	choline monooxygenase, putative (CMO-like)
Bra024119	plant intracellular ras group-related LRR 7
Bra024120	Oligosaccharyltransferase complex/magnesium transporter family protein
Bra024121	Eukaryotic protein of unknown function (DUF872)
Bra024122	No annotation found
Bra024123	Galactose oxidase/kelch repeat superfamily protein
Bra024124	Galactose oxidase/kelch repeat superfamily protein
Bra024125	No annotation found
Bra024126	No annotation found
Bra024127	DC1 domain-containing protein
Bra024128	HXXXD-type acyl-transferase family protein
Bra024129	HXXXD-type acyl-transferase family protein
Bra024130	CRS1 / YhbY (CRM) domain-containing protein
Bra024131	HXXXD-type acyl-transferase family protein
Bra024132	CRS1 / YhbY (CRM) domain-containing protein
Bra024133	cytochrome P450, family 82, subfamily F, polypeptide 1
Bra024134	HXXXD-type acyl-transferase family protein
Bra024135	cytokinin oxidase 4
Bra024136	No annotation found
Bra024137	polyamine oxidase 5
Bra024138	Alkaline-phosphatase-like family protein
Bra024139	atypical CYS  HIS rich thioredoxin 2
Bra024140	cytidine deaminase 1
Bra024141	Cytidine/deoxycytidylate deaminase family protein
Bra024142	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra024143	arginine methyltransferase 11
Bra024144	Mitochondrial ATP synthase subunit G protein
Bra024145	Ribosomal L28e protein family
Bra024146	Galactose oxidase/kelch repeat superfamily protein
Bra024147	Galactose oxidase/kelch repeat superfamily protein
Bra024148	profilin 4
Bra024149	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra024150	HAD superfamily, subfamily IIIB acid phosphatase 
Bra024151	Leucine-rich repeat (LRR) family protein
Bra024152	NAC domain containing protein 75
Bra024153	gamma-glutamyl transpeptidase 4
Bra024154	gamma-glutamyl transpeptidase 4
Bra024155	gamma-glutamyl transpeptidase 4
Bra024156	gamma-glutamyl transpeptidase 4
Bra024157	Zinc finger C-x8-C-x5-C-x3-H type family protein
Bra024158	root hair specific 16
Bra024159	Mnd1 family protein
Bra024160	SNF7 family protein
Bra024161	IQ-domain 25
Bra024162	MATE efflux family protein
Bra024163	No annotation found
Bra024164	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra024165	regulatory particle AAA-ATPase 2A
Bra024166	Galactose oxidase/kelch repeat superfamily protein
Bra024167	Plant self-incompatibility protein S1 family
Bra024168	Putative membrane lipoprotein
Bra024169	glycine-rich protein
Bra024170	Enoyl-CoA hydratase/isomerase family
Bra024171	Tesmin/TSO1-like CXC domain-containing protein
Bra024172	RNA-binding protein-related
Bra024173	No annotation found
Bra024174	Phosphorylase superfamily protein
Bra024175	Protein of unknown function (DUF626)
Bra024176	No annotation found
Bra024177	novel interactor of JAZ
Bra024178	RING/U-box superfamily protein
Bra024179	casein kinase I-like 3
Bra024180	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra024181	ATP binding
Bra024182	No annotation found
Bra024183	Glutaredoxin family protein
Bra024184	Galactose oxidase/kelch repeat superfamily protein
Bra024185	Galactose oxidase/kelch repeat superfamily protein
Bra024186	ammonium transporter 1;4
Bra024187	indole-3-acetic acid inducible 11
Bra024188	phosphate starvation response  1
Bra024189	No annotation found
Bra024190	Long-chain fatty alcohol dehydrogenase family protein
Bra024191	casein kinase I-like 6
Bra024192	chromatin remodeling 8
Bra024193	Domain of unknown function (DUF1985)
Bra024194	NAC domain containing protein 74
Bra024195	F-box/RNI-like/FBD-like domains-containing protein
Bra024196	No annotation found
Bra024197	NAC domain containing protein 73
Bra024198	Protein of unknown function (DUF679)
Bra024199	DNAJ heat shock family protein
Bra024200	26S proteasome regulatory subunit S2 1B
Bra024201	No annotation found
Bra024202	nucleotide binding;protein binding
Bra024203	Nucleic acid-binding, OB-fold-like protein
Bra024204	Tyrosine transaminase family protein
Bra024205	Protein phosphatase 2C family protein
Bra024206	mRNA capping enzyme family protein
Bra024207	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra024208	early nodulin-like protein 3
Bra024209	Protein of unknown function (DUF506) 
Bra024210	No annotation found
Bra024211	Protein of unknown function (DUF1421)
Bra024212	LORELEI-LIKE-GPI ANCHORED PROTEIN 3
Bra024213	RING membrane-anchor 2
Bra024214	No annotation found
Bra024215	expansin B3
Bra024216	Wound-responsive family protein
Bra024217	NAD(P)H dehydrogenase B1
Bra024218	embryo defective 1923
Bra024219	Developmental regulator, ULTRAPETALA
Bra024220	hydroxyproline-rich glycoprotein family protein
Bra024221	Protein of unknown function (DUF789)
Bra024222	Integrase-type DNA-binding superfamily protein
Bra024223	diacylglycerol kinase 6
Bra024224	myb domain protein 41
Bra024225	No annotation found
Bra024226	No annotation found
Bra024227	No annotation found
Bra024228	E2F/DP family winged-helix DNA-binding domain
Bra024229	No annotation found
Bra024230	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra024231	Cytochrome c oxidase, subunit Vib family protein
Bra024232	tetraspanin7
Bra024233	Acyl-CoA N-acyltransferases (NAT) superfamily protein
Bra024234	No annotation found
Bra024235	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra024236	Domain of unknown function (DUF3444)
Bra024237	beta-galactosidase 16
Bra024238	beta-galactosidase 10
Bra024239	HIT-type Zinc finger family protein
Bra024240	Glycosyl hydrolases family 31  protein
Bra024241	amino acid permease 4
Bra024242	Regulator of chromosome condensation (RCC1) family protein
Bra024243	serine/threonine phosphatase 7
Bra024244	SNF7 family protein
Bra024245	histidinol dehydrogenase
Bra024246	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain
Bra024247	farnesylcysteine lyase
Bra024248	topoisomerase 3alpha
Bra024249	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Bra024250	chromatin remodeling 24
Bra024251	No annotation found
Bra024252	No annotation found
Bra024253	DNA binding;nucleotide binding;nucleic acid binding;DNA-directed DNA polymerases;DNA-directed DNA polymerases
Bra024254	Copine (Calcium-dependent phospholipid-binding protein) family
Bra024255	Inositol monophosphatase family protein
Bra024256	Inositol monophosphatase family protein
Bra024257	Inositol monophosphatase family protein
Bra024258	No annotation found
Bra024259	TRICHOME BIREFRINGENCE-LIKE 14
Bra024260	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra024261	photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)
Bra024262	glutamate tRNA synthetase
Bra024263	NAC domain containing protein 103
Bra024264	phosphatidylinositol 4-OH kinase beta1
Bra024265	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra024266	U2 snRNP auxiliary factor small subunit, putative
Bra024267	Peroxidase superfamily protein
Bra024268	Peroxidase superfamily protein
Bra024269	Peroxidase superfamily protein
Bra024270	cAMP-regulated phosphoprotein 19-related protein
Bra024271	RNA methyltransferase family protein
Bra024272	No annotation found
Bra024273	dentin sialophosphoprotein-related
Bra024274	No annotation found
Bra024275	No annotation found
Bra024276	ortholog of human splicing factor SC35
Bra024277	metacaspase 3
Bra024278	Aldolase-type TIM barrel family protein
Bra024279	myosin heavy chain-related
Bra024280	EXORDIUM like 2
Bra024281	splicing factor, putative
Bra024282	dicarboxylate transport 2.1
Bra024283	GTP cyclohydrolase II
Bra024284	arabinogalactan protein 1
Bra024285	Phototropic-responsive NPH3 family protein
Bra024286	sequence-specific DNA binding transcription factors;transcription regulators
Bra024287	FK506-binding protein 12
Bra024288	beta carbonic anhydrase 5
Bra024289	Chaperone DnaJ-domain superfamily protein
Bra024290	beta-ureidopropionase
Bra024291	Inositol monophosphatase family protein
Bra024292	RNA-binding KH domain-containing protein
Bra024293	Cox19-like CHCH family protein
Bra024294	DNA polymerase V family
Bra024295	Octicosapeptide/Phox/Bem1p family protein
Bra024296	No annotation found
Bra024297	No annotation found
Bra024298	No annotation found
Bra024299	Pentatricopeptide repeat (PPR) superfamily protein
Bra024300	Phosphoglycerate mutase family protein
Bra024301	Plant protein of unknown function (DUF828)
Bra024302	No annotation found
Bra024303	Major facilitator superfamily protein
Bra024304	No annotation found
Bra024305	No annotation found
Bra024306	xylem NAC domain 1
Bra024307	No annotation found
Bra024308	loricrin-related
Bra024309	magnesium transporter 9
Bra024310	basic leucine zipper 25
Bra024311	beta-D-xylosidase 4
Bra024312	AAA-type ATPase family protein
Bra024313	histone acetyltransferase of the MYST family 1
Bra024314	Cysteine/Histidine-rich C1 domain family protein
Bra024315	cell wall / vacuolar inhibitor of fructosidase 2
Bra024316	Transducin/WD40 repeat-like superfamily protein
Bra024317	Plant invertase/pectin methylesterase inhibitor superfamily
Bra024318	CYS, MET, PRO, and GLY protein 2
Bra024319	inflorescence deficient in abscission (IDA)-like 2
Bra024320	Ribosomal protein L18e/L15 superfamily protein
Bra024321	neurofilament triplet H protein-related
Bra024322	nodulin MtN21 /EamA-like transporter family protein
Bra024323	Transducin/WD40 repeat-like superfamily protein
Bra024324	cellulose synthase 6
Bra024325	Integrase-type DNA-binding superfamily protein
Bra024326	No annotation found
Bra024327	Uncharacterised conserved protein UCP009193
Bra024328	WRKY DNA-binding protein 51
Bra024329	Ras-related small GTP-binding family protein
Bra024330	No annotation found
Bra024331	programmed cell death 2 C-terminal domain-containing protein
Bra024332	No annotation found
Bra024333	SPFH/Band 7/PHB domain-containing membrane-associated protein family
Bra024334	No annotation found
Bra024335	precursor of peptide 1
Bra024336	elicitor peptide 3 precursor
Bra024337	CPR5 protein, putative
Bra024338	myosin heavy chain-related
Bra024339	ABC2 homolog 13
Bra024340	chromomethylase 3
Bra024341	cyclin dependent kinase group C2
Bra024342	Mitochondrial substrate carrier family protein
Bra024343	F-box and associated interaction domains-containing protein
Bra024344	Nucleotide-sugar transporter family protein
Bra024345	asparagine synthetase 2
Bra024346	annexin 2
Bra024347	No annotation found
Bra024348	No annotation found
Bra024349	No annotation found
Bra024350	K-box region and MADS-box transcription factor family protein 
Bra024351	K-box region and MADS-box transcription factor family protein 
Bra024352	No annotation found
Bra024353	DNAse I-like superfamily protein
Bra024354	Ethylene insensitive 3 family protein
Bra024355	acyl-CoA oxidase 2
Bra024356	No annotation found
Bra024357	Integrase-type DNA-binding superfamily protein
Bra024358	Integrase-type DNA-binding superfamily protein
Bra024359	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Bra024360	tetratricopeptide repeat (TPR)-containing protein
Bra024361	zinc ion binding
Bra024362	VQ motif-containing protein
Bra024363	NAD(P)-binding Rossmann-fold superfamily protein
Bra024364	No annotation found
